V1 V2
1 nd 103
2 nd 124
3 nd 124
4 nd 104
5 d 96
6 nd 92
7 nd 124
8 nd 99
9 nd 92
10 nd 116
11 nd 99
12 d 22
13 d 81
14 nd 117
15 d 100
16 nd 89
17 nd 125
18 nd 127
19 nd 112
20 nd 48
21 nd 139
22 nd 118
23 d 107
24 nd 106
25 d 129
26 nd 117
27 nd 123
28 nd 118
29 d 84
30 nd 117
31 d 101
32 nd 141
33 nd 124
34 nd 110
35 nd 98
36 nd 109
37 nd 120
38 nd 127
39 nd 103
40 nd 118
41 nd 117
42 nd 115
43 nd 119
44 nd 117
45 nd 92
46 nd 101
47 nd 119
48 nd 144
49 nd 119
50 nd 127
51 nd 113
52 nd 127
53 nd 103
54 nd 128
55 nd 86
56 nd 112
57 nd 115
58 nd 117
59 nd 99
60 nd 110
61 d 139
62 nd 117
63 nd 96
64 d 111
65 nd 118
66 nd 126
67 nd 126
68 nd 89
69 nd 102
70 nd 134
71 nd 93
72 nd 115
73 d 99
74 nd 99
75 nd 122
76 nd 106
77 nd 124
78 nd 100
79 nd 114
80 nd 121
81 nd 119
82 nd 108
83 nd 110
84 nd 127
85 nd 118
86 nd 107
87 d 123
88 d 102
89 nd 110
90 nd 114
91 nd 118
92 d 101
93 d 121
94 nd 114
